;Date;bhp;blk;bp;cvx;ryaay;ko;mcd;nsrgy;sbux;shel;wmt;bhp;blk;bp;cvx;ryaay;ko;mcd;nsrgy;sbux;shel;wmt;AVG
87;29/10/10;53,010799;126,868813;21,498451;52,074051;29,721733;21,471617;56,099499;39,580791;11,792296;34,721043;41,469154;0,004031171;0,002178773;-0,000319418;-0,006088959;-0,020996414;0,002753236;0,00061397;-0,003577705;0,003785023;0,003795995;0,001121038;-0,001154845
88;01/11/10;53,505142;127,506889;21,482645;51,349049;28,318987;21,60817;56,178864;39,256065;11,895519;35,025856;41,576336;0,008105383;0,002997082;0,006869406;0,003716391;0,00651631;0,001054499;0,002890236;0,008224294;0,001054015;0,01209612;0,00382154;0,005213207
89;02/11/10;54,513103;128,389862;21,825146;51,790344;28,747099;21,6607;56,553982;40,006546;11,924424;36,015121;41,943798;0,005943424;-0,018928889;0,009848452;0,002897792;-0,002345677;0,000631333;0,000553424;0,005603915;0,003295799;0,004417902;0,000950035;0,001169774
90;03/11/10;55,264256;122,914139;22,325727;52,137066;28,592251;21,692211;56,626095;40,526115;12,015261;36,383358;42,035652;0,025092496;0,008694668;0,015504928;0,012628208;0,00358236;0,003491144;0,003745909;0,01430031;0,009594048;0,007052289;0,003544702;0,009748278
91;04/11/10;58,551338;125,399704;23,137186;53,675339;28,829075;21,86729;57,116623;41,882759;12,283645;36,978992;42,38015;0,004453394;0,010510118;-0,001188478;-0,000816694;-0,001787486;0,000903168;0,00065778;0,001568557;0,016049485;-0,002423409;-0,001257004;0,002424494
92;05/11/10;59,154831;128,471451;23,073956;53,574497;28,710663;21,912813;57,203197;42,034302;12,746083;36,77322;42,257664;-0,005549953;-0,010304361;-0,005589846;-0,00092091;-0,005965507;-0,000833622;5,45613E-05;-0,004345999;-0,003389533;-0,006702368;-0,002287698;-0,00416684
93;08/11/10;58,403687;125,459129;22,778872;53,461014;28,318987;21,870792;57,210384;41,615761;12,646991;36,210064;42,035652;-0,00819273;-0,011925761;-0,002316737;-0,006397584;-0,006757358;0,001249864;-0,001151567;-0,00545627;-0,006571862;-0,008128867;0,001105867;-0,004958455
94;09/11/10;57,31226;122,060883;22,657682;52,679253;27,881771;21,933825;57,058887;41,096191;12,457054;35,538609;42,142826;0,002135333;0,010356008;0,005320172;0,008288278;-0,005137972;-0,000624472;0,002190876;-0,002140513;0,00429733;0,003098961;-0,004281109;0,002136627
95;10/11/10;57,594746;125,006477;22,936949;53,694263;27,553856;21,902309;57,347458;40,894138;12,580928;35,793106;41,729439;-0,000532854;0,006955467;0,001494106;0,004666065;-0,002303185;0,001732306;0,001091175;-0,002999099;0,003831313;0,001574227;-0,001356356;0,001286651
96;11/11/10;57,524124;127,024643;23,015995;54,274265;27,408117;21,989847;57,491726;40,612709;12,692407;35,923084;41,599316;-0,012938546;0,004717996;-0,006915303;-0,003291366;0,005735229;0,000829074;-0,004656647;-0,001855946;-0,007840697;-0,003219873;-0,001681807;-0,002828899
97;12/11/10;55,835636;128,412109;22,652412;53,864494;27,772465;22,031866;56,878574;40,439522;12,465316;35,657734;41,438534;0,003580705;2,50805E-05;0,00050493;-0,002958276;-0,013012457;0,000276039;0,00121;-0,001164008;0,008546702;-0,002646021;-0,00144636;-0,00064397
