;Date;aapl;amzn;goog;googl;hd;jpm;msft;nvda;pg;tsla;unh;v;MCCC;aapl;amzn;goog;googl;hd;jpm;msft;nvda;pg;tsla;unh;v;AVG;FAMA&FRENCH
57;17/09/10;8,421151;148,320007;244,159836;245,320313;22,959612;29,32741;19,722757;2,422422;42,860077;4,046;28,65262;15,780589;0,72;0,012222507;0,008639199;0,015774003;0,015774027;0,010904711;0,01208074;0,003601475;0,006537161;0,003264298;0,017462484;0,010062336;0,011389983;0,010642744;1,60
58;20/09/10;8,661517;151,300003;253,190979;254,394394;23,543404;30,154661;19,886992;2,459161;43,183441;4,212;29,324234;16,199932;0,46;0,000827535;-0,001639249;0,004403585;0,004403618;0,003668368;-0,006372665;-0,004808612;0,022904328;0,000635658;-0,00602187;0,004083683;-0,002291614;0,001649397;0,31
59;21/09/10;8,678037;150,729996;255,771301;256,987;23,743111;29,715414;19,668013;2,592336;43,246693;4,154;29,601271;16,114676;1,01;0,006048689;0,00315791;0,002143088;0,002143083;-0,00042162;-0,007010789;-0,009426233;0,003829725;0,00190196;-0,019238629;0,005142538;0,004202222;-0,000627338;0,52
60;22/09/10;8,799747;151,830002;257,03656;258,25827;23,720072;29,239571;19,245724;2,615297;43,436504;3,974;29,953867;16,271358;0;0,001762174;0,002907862;-0,002126169;-0,002126169;-0,000562932;-0,0092316;-0,003188166;0,008682552;-0,004024862;-0,006829017;-0,002931039;0,002208239;-0,00128826;0,78
61;23/09/10;8,835525;152,850006;255,781265;256,997009;23,689346;28,624598;19,104958;2,668109;43,035812;3,912;29,75239;16,354303;0;0,005080966;0,021831474;0,011526023;0,011525976;0,011122148;0,007160652;0,00617797;0,023284397;0,002969372;0,011827207;0,003539141;0,008422551;0,010372323;2,19
62;24/09/10;8,939502;160,729996;262,660492;263,908905;24,303858;29,100473;19,378674;2,815062;43,331066;4,02;29,995838;16,674568;0,28;-0,001726809;-0,003690375;0,002562159;0,002562156;-0,00054933;-0,007382706;-0,000877266;-0,0093093;-0,004248278;0,009192892;-0,004643681;0,003764248;-0,001195524;0,46
63;27/09/10;8,904028;159,369995;264,214661;265,470459;24,273136;28,609966;19,339569;2,755362;42,909267;4,106;29,676817;16,819723;0;-0,006461704;0,000898349;-0,00266102;-0,002661002;0,002876376;-0,001447149;-0,000878906;-0,00108719;-0,00299858;0,018024824;-0,003825139;0,001603179;0,00011517;0,58
64;28/09/10;8,772529;159,699997;262,600708;263,848846;24,434433;28,514791;19,30047;2,748473;42,614021;4,28;29,41658;16,881927;0;0,000771413;-0,001935085;0,000428183;0,000428166;0;-0,006063016;-0,00317909;-0,003277676;-0,002658822;0,011613915;0,001978547;0,006705136;0,000400973;0,17
65;29/09/10;8,788125;158,990005;262,859741;264,1091;24,434433;28,119473;19,159704;2,727808;42,353928;4,396;29,550901;17,144592;0,15;-0,005505607;-0,005304235;-0,001566523;-0,001566503;-0,001778393;-0,003975639;-0,000177429;-0,007373647;-0,002022884;-0,032184683;-0,001111904;-0,000876256;-0,005286975;0,26
66;30/09/10;8,67742;157,059998;261,9133;263,158173;24,334581;27,863235;19,151878;2,681885;42,157108;4,082;29,47534;17,110035;0,1;-0,001886577;-0,009363445;-0,000140447;-0,000140488;0,001915124;0,008474884;-0,001955126;-0,012446909;0,001373735;0,004024216;0,003940403;-0,005532393;-0,000978085;0,43
67;01/10/10;8,639807;153,710007;261,828613;263,073059;24,442127;28,412302;19,065853;2,606113;42,290668;4,12;29,74399;16,893456;0;-0,006005576;0,004720922;-0,002710302;-0,002710267;-0,002052191;0,002123709;-0,008454001;-0,004229469;-0,001446245;0,008145218;-0,011048854;-0,000474337;-0,002011783;0,88
68;04/10/10;8,521155;155,389999;260,199707;261,436432;24,326902;28,551579;18,698305;2,580856;42,15007;4,198;28,99682;16,875015;0,62;0,015764025;0,015051984;0,013006284;0,013006284;0,000958848;0,007626217;0,007919193;0,003080102;0,006184669;0,002681475;0,006613351;0,010255058;0,008512291;2,11
69;05/10/10;8,836138;160,869995;268,110046;269,384369;24,380671;29,057373;19,042389;2,599225;42,754612;4,224;29,441757;17,278229;0,3;0,000375539;-0,015024051;-0,00314206;-0,00314206;0;0,002839128;0,001424655;-0,021227614;0,000356962;-0,013788284;-0,0140959;-0,004423857;-0,005820629;0,10
70;06/10/10;8,843782;155,399994;266,177307;267,442444;24,380671;29,247953;19,104958;2,475234;42,789768;4,092;28,501507;17,103121;0,3;4,50E-05;0,002424626;-0,003541749;-0,003541763;0;-0,004155976;0,001774084;-0,003235145;-0,000499734;-0,000637263;0,004960519;-0,003642453;-0,000837485;0,16
71;07/10/10;8,844699;156,270004;264,015411;265,270264;24,380671;28,9694;19,183161;2,456864;42,740559;4,086;28,828918;16,960276;0;0,007222453;-0,002005599;0,005164188;0,005164244;0,002047463;-0,002313883;0,000707628;0,006446021;0,007506407;0;0,000126524;0,002294805;0,002696687;0,74
72;08/10/10;8,993019;155,550003;267,173553;268,443451;24,495884;28,815464;19,214443;2,493602;43,485714;4,086;28,837318;17,050131;0,73;0,001901017;-0,007093448;0,002011553;0,002011542;-0,001363837;0,004615683;0,000353359;-0,002004014;0,001961248;-0,004057858;0,003776493;0,001698637;0,000317531;0,04
73;11/10/10;9,03247;153,029999;268,41391;269,689697;24,419079;29,123348;19,230083;2,482122;43,682537;4,048;29,089172;17,116949;0,72;0,00465074;0,009682251;0,002050393;0,002050402;-0,005222644;0,007262738;0,004218194;0,0083561;-0,000839463;0;0,004612972;-0,000233842;0,003048987;0,39
74;12/10/10;9,129716;156,479996;269,684143;270,965973;24,127184;29,614475;19,41777;2,530342;43,598183;4,048;29,399797;17,107735;0,81;0,002321542;-0,003651072;0,001529497;0,001529487;-0,005706239;-0,006062025;0,008829944;0,012431067;0,004250743;0,006389931;0,003704475;0,015455666;0,003418585;0,78
75;13/10/10;9,17865;155,169998;270,63559;271,921936;23,812248;29,203978;19,816607;2,603816;44,027004;4,108;29,651646;17,727528;0;0,003128482;0,001006415;-0,001898634;-0,00189864;-0,002670068;-0,012384098;-0,001889335;-0,006948621;0,001177214;0,004417662;0,005619647;0,001296254;-0,00092031;0,38
76;14/10/10;9,245008;155,529999;269,455017;270,735748;23,666298;28,382975;19,730585;2,562487;44,146507;4,15;30,037823;17,780519;0;0,017499493;0,024721186;0,046058463;0,046058449;-0,00155323;-0,017976399;0,005303753;0,00502962;-0,00027677;-0,004417662;0,002420753;0,002413341;0,010440083;0,18
77;15/10/10;9,625134;164,639999;299,60202;301,026031;23,581808;27,232124;19,973019;2,592336;44,118382;4,108;30,205721;17,879599;0,61;0,00447501;-0,002858258;0,011585102;0,011585081;-0,002411566;0,012104526;0,004735149;0,002684399;0,004063654;-0,006604556;0,003246883;0,004232622;0,003903171;0,69
78;18/10/10;9,724825;163,559998;307,70166;309,164154;23,451225;28,001806;20,191978;2,608409;44,533131;4,046;30,432392;18,054705;0,52;-0,011780311;-0,01318228;-0,007002481;-0,007002503;-0,001710525;-0,005837255;-0,012282415;-0,002684399;-0,001166833;-0,003881506;-0,011533503;-0,004512776;-0,006881399;1,67
79;19/10/10;9,464583;158,669998;302,780121;304,219208;23,359041;27,627958;19,628922;2,592336;44,413643;4,01;29,63484;17,868069;0,13;0,001456921;0;0,000107143;0,000107159;0,004546181;0,004698715;0,003618247;0;0,004630025;0,012805679;0,017246479;0,010894594;0,005009262;1,06
80;20/10/10;9,496387;158,669998;302,854828;304,294281;23,604847;27,928493;19,79314;2,592336;44,889671;4,13;30,835363;18,321972;0,44;-0,001414845;0,016910161;0,00285501;0,00285505;0,015001076;-0,004583539;0,001883573;-0,007762448;0,000958209;0,002098045;-0,002847158;-0,001750874;0,002016855;0,11
81;21/10/10;9,4655;164,970001;304,852325;306,3013;24,434433;27,635286;19,879171;2,546413;44,988823;4,15;30,633873;18,248255;0,69;-0,002885945;0,010815685;0,000383069;0,000383029;-0,004528763;0;-0,000683947;0,026950695;-0,000752757;-0,00062835;0,009068947;0,000493149;0,003217901;0,29
82;22/10/10;9,402809;169,130005;305,121338;306,571564;24,180958;27,635286;19,847889;2,70944;44,910912;4,144;31,280296;18,268988;0,64;0,001930783;-0,000333957;0,002805691;0,002805734;-0,001105148;-0,007318751;-0,003263462;0,004029517;0,000957862;0,002716308;0,003482785;0,007277993;0,001165446;0,31
83;25/10/10;9,444705;169;307,098907;308,558563;24,119503;27,173477;19,699303;2,734696;45,010075;4,17;31,532154;18,577723;0,39;-0,001112323;0,002434457;0,001476839;0,001476842;-0,00152412;0,001520464;0,012071503;-0,001460957;-0,004672793;0,010495189;0,000115554;-0,003243649;0,001464751;0,02
84;26/10/10;9,420546;169,949997;308,144989;309,609619;24,035006;27,268778;20,254539;2,725512;44,528385;4,272;31,540545;18,439487;0,38;-0,000310323;-0,006280436;-0,001497943;-0,001497974;-0,00544693;0,003951427;0,002508;0,006175722;0,001517383;-0,007381954;-0,019383947;-0,000597417;-0,002353699;0,24
85;27/10/10;9,413817;167,509995;307,083984;308,543549;23,735441;27,518015;20,371845;2,764546;44,684235;4,2;30,163744;18,414139;0;-0,003669341;-0,001740555;0,001483921;0,001483933;0,00405679;-0,000347363;0,0038176;0,000360696;0,000756495;0,003911662;0,003850843;-0,019277843;-0,000442763;0,08
86;28/10/10;9,334615;166,839996;308,13504;309,599609;23,958195;27,496014;20,55171;2,766843;44,762138;4,238;30,432392;17,614632;0,28;-0,006103805;-0,004211278;-0,003439779;-0,003439752;-0,00405679;0,001387142;0,006397694;-0,001082673;0,002603914;0,013121677;-0,00240273;0,00960698;0,000698383;0,07
